Animalia,Chordata,Aves,Galliformes,Odontophoridae ,Odontophorus,leucolaemus,Odontophorus leucolaemus,Codorniz Pechinegra ,Black-breasted Wood-Quail,"Gallinita de Monte, Chirrascuá, Huevos de Chancho",Reino: Animalia >División: Chordata >Clase: Aves >Orden: Galliformes >Familia: Odontophoridae  >Género: Odontophorus >Especie: leucolaemus >N. científico: Odontophorus leucolaemus,,,,,
Animalia,Chordata,Aves,Galliformes,Odontophoridae ,Odontophorus,guttatus,Odontophorus guttatus,Codorniz Moteada,Spotted Wood-Quail,,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Galliformes >Familia: Odontophoridae  >Género: Odontophorus >Especie: guttatus >N. científico: Odontophorus guttatus,,,,,
Animalia,Chordata,Aves,Podicipediformes,Podicipedidae ,Tachybaptus,dominicus,Tachybaptus dominicus,Zambullidor Enano ,Least Grebe,,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Podicipediformes >Familia: Podicipedidae  >Género: Tachybaptus >Especie: dominicus >N. científico: Tachybaptus dominicus,,,,,
Animalia,Chordata,Aves,Podicipediformes,Podicipedidae ,Podilymbus,podiceps,Podilymbus podiceps,Zambullidor Piquipinto ,Pied-billed Grebe,Pico Pinto,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Podicipediformes >Familia: Podicipedidae  >Género: Podilymbus >Especie: podiceps >N. científico: Podilymbus podiceps,,,,,
Animalia,Chordata,Aves,Podicipediformes,Podicipedidae ,Podiceps,nigricollis,Podiceps nigricollis,Zambullidor Mediano,Eared Grebe,,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Podicipediformes >Familia: Podicipedidae  >Género: Podiceps >Especie: nigricollis >N. científico: Podiceps nigricollis,,,,,
Animalia,Chordata,Aves,Columbiformes,Columbidae ,Columba,livia,Columba livia,Paloma Doméstica ,Rock Pigeon,Paloma de Castilla,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Columbiformes >Familia: Columbidae  >Género: Columba >Especie: livia >N. científico: Columba livia,,,,,
Animalia,Chordata,Aves,Columbiformes,Columbidae ,Patagioenas,cayennensis,Patagioenas cayennensis,Paloma Colorada ,Pale-vented Pigeon,Paloma Morada,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Columbiformes >Familia: Columbidae  >Género: Patagioenas >Especie: cayennensis >N. científico: Patagioenas cayennensis,,,,,
Animalia,Chordata,Aves,Columbiformes,Columbidae ,Patagioenas,speciosa,Patagioenas speciosa,Paloma Escamosa ,Scaled Pigeon,Paloma Morada,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Columbiformes >Familia: Columbidae  >Género: Patagioenas >Especie: speciosa >N. científico: Patagioenas speciosa,,,,,
Animalia,Chordata,Aves,Columbiformes,Columbidae ,Patagioenas,leucocephala,Patagioenas leucocephala,Paloma Coroniblanca,White-crowned Pigeon,,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Columbiformes >Familia: Columbidae  >Género: Patagioenas >Especie: leucocephala >N. científico: Patagioenas leucocephala,,,,,
Animalia,Chordata,Aves,Columbiformes,Columbidae ,Patagioenas,flavirostris,Patagioenas flavirostris,Paloma Piquirroja ,Red-billed Pigeon,Paloma Morada Común ,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Columbiformes >Familia: Columbidae  >Género: Patagioenas >Especie: flavirostris >N. científico: Patagioenas flavirostris,,,,,
Animalia,Chordata,Aves,Columbiformes,Columbidae ,Patagioenas,fasciata,Patagioenas fasciata,Paloma Collareja,Band-tailed Pigeon,,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Columbiformes >Familia: Columbidae  >Género: Patagioenas >Especie: fasciata >N. científico: Patagioenas fasciata,,,,,
Animalia,Chordata,Aves,Columbiformes,Columbidae ,Patagioenas,subvinacea,Patagioenas subvinacea,Paloma Rojiza ,Ruddy Pigeon,Paloma Morada,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Columbiformes >Familia: Columbidae  >Género: Patagioenas >Especie: subvinacea >N. científico: Patagioenas subvinacea,,,,,
Animalia,Chordata,Aves,Columbiformes,Columbidae ,Patagioenas,nigrirostris,Patagioenas nigrirostris,Paloma Piquicorta ,Short-billed Pigeon,"Paloma Morada, Dos-tontos-son",Reino: Animalia >División: Chordata >Clase: Aves >Orden: Columbiformes >Familia: Columbidae  >Género: Patagioenas >Especie: nigrirostris >N. científico: Patagioenas nigrirostris,,,,,
Animalia,Chordata,Aves,Columbiformes,Columbidae ,Streptopelia,decaocto,Streptopelia decaocto,Tórtola Turca,Eurasian Collared-Dove,,Reino: Animalia >División: Chordata >Clase: Aves >Orden: Columbiformes >Familia: Columbidae  >Género: Streptopelia >Especie: decaocto >N. científico: Streptopelia decaocto,,,,,
Animalia,Chordata,Aves,Columbiformes,Columbidae ,Columbina,inca,Columbina inca,Tortolita Colilarga ,Inca Dove,"San Juan, Tórtola",Reino: Animalia >División: Chordata >Clase: Aves >Orden: Columbiformes >Familia: Columbidae  >Género: Columbina >Especie: inca >N. científico: Columbina inca,,,,,
Animalia,Chordata,Aves,Columbiformes,Columbidae ,Columbina,passerina,Columbina passerina,Tortolita Común ,Common Ground-Dove,"Tortolita, Palomita",Reino: Animalia >División: Chordata >Clase: Aves >Orden: Columbiformes >Familia: Columbidae  >Género: Columbina >Especie: passerina >N. científico: Columbina passerina,,,,,
Animalia,Chordata,Aves,Columbiformes,Columbidae ,Columbina,minuta,Columbina minuta,Tortolita Menuda ,Plain-breasted Ground-Dove,"Tortolita, Conchita",Reino: Animalia >División: Chordata >Clase: Aves >Orden: Columbiformes >Familia: Columbidae  >Género: Columbina >Especie: minuta >N. científico: Columbina minuta,,,,,
Animalia,Chordata,Aves,Columbiformes,Columbidae ,Columbina,talpacoti,Columbina talpacoti,Tortolita Rojiza ,Ruddy Ground-Dove,"Tortolita, Palomita Colorada",Reino: Animalia >División: Chordata >Clase: Aves >Orden: Columbiformes >Familia: Columbidae  >Género: Columbina >Especie: talpacoti >N. científico: Columbina talpacoti,,,,,
