0,1,2,3,4,5,6,7,8,9,10,11,12,13
Crax rubra,Animalia,Chordata,Aves,Galliformes,Cracidae ,Crax,rubra,Pavón Grande ,Great Curassow,"Crax rubra, Great Curassow, Pavón Grande ",,"Pavón, Granadera",26
Crotophaga major,Animalia,Chordata,Aves,Cuculiformes,Cuculidae ,Crotophaga,major,Garrapatero Mayor ,Greater Ani,"Crotophaga major, Greater Ani, Garrapatero Mayor ",,Tijo,176
Crypturellus boucardi,Animalia,Chordata,Aves,Tinamiformes,Tinamidae ,Crypturellus,boucardi,Tinamú Pizarroso ,Slaty-breasted Tinamou,"Crypturellus boucardi, Slaty-breasted Tinamou, Tinamú Pizarroso ",,Gallina de monte Patirroja,24
Crypturellus cinnamomeus,Animalia,Chordata,Aves,Tinamiformes,Tinamidae ,Crypturellus,cinnamomeus,Tinamú Canelo ,Thicket Tinamou,"Crypturellus cinnamomeus, Thicket Tinamou, Tinamú Canelo ",,"Gallina de monte, Gongolona, Perdiz",24
Cyanocorax affinis,Animalia,Chordata,Aves,Passeriformes,Corvidae ,Cyanocorax,affinis,Urraca Pechinegra,Black-chested Jay,"Cyanocorax affinis, Black-chested Jay, Urraca Pechinegra",,,264
Cypseloides niger,Animalia,Chordata,Aves,Apodiformes,Apodidae ,Cypseloides,niger,Vencejo Negro,Black Swift,"Cypseloides niger, Black Swift, Vencejo Negro",,,130
Dendrocygna bicolor,Animalia,Chordata,Aves,Anseriformes,Anatidae ,Dendrocygna,bicolor,Pijije Canelo ,Fulvous Whistling-Duck,"Dendrocygna bicolor, Fulvous Whistling-Duck, Pijije Canelo ",,Piche Canelo ,32
Dendrortyx leucophrys,Animalia,Chordata,Aves,Galliformes,Odontophoridae ,Dendrortyx,leucophrys,Perdiz Montañera ,Buffy-crowned Wood-Partridge,"Dendrortyx leucophrys, Buffy-crowned Wood-Partridge, Perdiz Montañera ",,Chirrascuá,28
Dolichonyx oryzivorus,Animalia,Chordata,Aves,Passeriformes,Icteridae ,Dolichonyx,oryzivorus,Tordo Arrocero,Bobolink,"Dolichonyx oryzivorus, Bobolink, Tordo Arrocero",,,354
Dryocopus lineatus,Animalia,Chordata,Aves,Piciformes,Picidae ,Dryocopus,lineatus,Carpintero Lineado,Lineated Woodpecker,"Dryocopus lineatus, Lineated Woodpecker, Carpintero Lineado",,,198
Dysithamnus mentalis,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae ,Dysithamnus,mentalis,Batarito Cabecigrís,Plain Antvireo,"Dysithamnus mentalis, Plain Antvireo, Batarito Cabecigrís",,,218
Egretta caerulea,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae ,Egretta,caerulea,Garceta Azul ,Little Blue Heron,"Egretta caerulea, Little Blue Heron, Garceta Azul ",,Garza Negra,60
Egretta rufescens,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae ,Egretta,rufescens,Garceta Rojiza,Reddish Egret,"Egretta rufescens, Reddish Egret, Garceta Rojiza",,,58
Elanoides forficatus,Animalia,Chordata,Aves,Accipitriformes,Accipitridae ,Elanoides,forficatus,Elanio Tijereta ,Swallow-tailed Kite ,"Elanoides forficatus, Swallow-tailed Kite , Elanio Tijereta ",,Gavilán Tijereta,98
Empidonax minimus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae ,Empidonax,minimus,Mosquerito Chebec,Least Flycatcher,"Empidonax minimus, Least Flycatcher, Mosquerito Chebec",,,242
Empidonax virescens,Animalia,Chordata,Aves,Passeriformes,Tyrannidae ,Empidonax,virescens,Mosquerito Verdoso,Acadian Flycatcher,"Empidonax virescens, Acadian Flycatcher, Mosquerito Verdoso",,,242
